43	Cr10HGO	8-hydroxygeraniol dehydrogenase
363	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
363	ACCD	1-aminocyclopropane-1-carboxylate deaminase
364	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
364	ACCD	1-aminocyclopropane-1-carboxylate deaminase
365	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
365	ACCD	1-aminocyclopropane-1-carboxylate deaminase
366	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
366	ACCD	1-aminocyclopropane-1-carboxylate deaminase
367	ACC deaminase	Probable 1-aminocyclopropane-1-carboxylate deaminase
367	ACCD	Probable 1-aminocyclopropane-1-carboxylate deaminase
368	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
368	ACCD	1-aminocyclopropane-1-carboxylate deaminase
369	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
369	ACCD	1-aminocyclopropane-1-carboxylate deaminase
370	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
370	ACCD	1-aminocyclopropane-1-carboxylate deaminase
371	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
371	ACCD	1-aminocyclopropane-1-carboxylate deaminase
372	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
372	ACCD	1-aminocyclopropane-1-carboxylate deaminase
373	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
373	ACCD	1-aminocyclopropane-1-carboxylate deaminase
374	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
374	ACCD	1-aminocyclopropane-1-carboxylate deaminase
375	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
375	ACCD	1-aminocyclopropane-1-carboxylate deaminase
376	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
376	ACCD	1-aminocyclopropane-1-carboxylate deaminase
377	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
377	ACCD	1-aminocyclopropane-1-carboxylate deaminase
378	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
378	ACCD	1-aminocyclopropane-1-carboxylate deaminase
379	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
379	ACCD	1-aminocyclopropane-1-carboxylate deaminase
380	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
380	ACCD	1-aminocyclopropane-1-carboxylate deaminase
381	ACC deaminase	Putative 1-aminocyclopropane-1-carboxylate deaminase
382	ACC deaminase	Putative 1-aminocyclopropane-1-carboxylate deaminase
383	ACC deaminase	Putative 1-aminocyclopropane-1-carboxylate deaminase
384	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
384	ACCD	1-aminocyclopropane-1-carboxylate deaminase
385	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
385	ACCD	1-aminocyclopropane-1-carboxylate deaminase
386	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
386	ACCD	1-aminocyclopropane-1-carboxylate deaminase
387	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
387	ACCD	1-aminocyclopropane-1-carboxylate deaminase
388	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
388	ACCD	1-aminocyclopropane-1-carboxylate deaminase
389	ACC deaminase	Probable 1-aminocyclopropane-1-carboxylate deaminase
