Iron transport multicopper oxidase fio1	FIO1_SCHPO						fio1
Pre-mRNA polyadenylation factor fip1	FIP1X_SCHPO						
Pre-mRNA polyadenylation factor FIP1	FIP1_ASHGO						FIP1|Eremothecium gossypii
Pre-mRNA polyadenylation factor fip1	FIP1_ASPFU						fip1|Aspergillus fumigatus
Fungus-induced protein 1	FIP1_CAEBR						fip-1
Fungus-induced protein 1	FIP1_CAEEL						fip-1
Pre-mRNA polyadenylation factor FIP1	FIP1_CANAL						FIP1
Pre-mRNA polyadenylation factor FIP1	FIP1_CANGA						Torulopsis glabrata|FIP1
Pre-mRNA polyadenylation factor FIP1	FIP1_DEBHA						FIP1|Torulaspora hansenii
Pre-mRNA 3'-end-processing factor FIP1	FIP1_DANRE						fip1l1|Brachydanio rerio|FIP1-like 1 protein
Pre-mRNA polyadenylation factor fip1	FIP1_EMENI						Aspergillus nidulans|fip1
Pre-mRNA polyadenylation factor FIP1	FIP1_GIBZE						FIP1|Fusarium graminearum
Pre-mRNA 3'-end-processing factor FIP1	FIP1_HUMAN						Rearranged in hypereosinophilia|FIP1L1|FIP1|FIP1-like 1 protein|Factor interacting with PAP|RHE
Pre-mRNA polyadenylation factor FIP1	FIP1_KLULA						FIP1|Candida sphaerica
Pre-mRNA 3'-end-processing factor FIP1	FIP1_MOUSE						Fip1l1|FIP1-like 1 protein
Pre-mRNA polyadenylation factor fip-1	FIP1_NEUCR						fip-1
Pre-mRNA 3'-end-processing factor FIP1	FIP1_PONAB						FIP1L1|FIP1-like 1 protein|Pongo pygmaeus abelii
Pre-mRNA 3'-end-processing factor FIP1	FIP1_RAT						Fip1l1|FIP1-like 1 protein
Plasma membrane iron permease	FIP1_SCHPO						fip1
Pre-mRNA polyadenylation factor FIP1	FIP1_YARLI						Candida lipolytica|FIP1
Pre-mRNA polyadenylation factor FIP1	FIP1_YEAST						FIP1
FH protein interacting protein FIP2	FIP2_ARATH						FIP2|BTB/POZ domain-containing protein At5g55000
FKBP12-interacting protein of 37 kDa	FIP37_ARATH						Immunophilin-interacting protein AtFIP37|FIP37
Fungus-induced protein 3	FIP3_CAEEL						fip-3
FIP1[III]-like protein	FIPS3_ARATH						FIPS3|Factor interacting with poly(A) polymerase-like 3|Protein HOMOLOG OF YEAST FIP1 [III]
FIP1[V]-like protein	FIPS5_ARATH						FIPS5|FIP1[V]|Factor interacting with poly(A) polymerase 1-like 5|Protein HOMOLOG OF YEAST FIP1 [V]
Fungus-induced-related protein 16	FIR16_CAEEL						fipr-16
Fungus-induced-related protein 15	FIR15_CAEEL						fipr-15
Factor interacting with REF2	FIR1_YEAST						FIR1|PAP1-interacting protein|Polymerase-interacting protein 1|PIP1
300 kDa antigen AG231	FIRA_PLAFF						FIRA
Mitochondrial fission 1 protein A	FIS1A_ARATH						BGY1|Protein BIGYIN 1|FIS1 homolog A|FIS1A
